"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Ontario","2021A000235","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107673457","8.1.1.1.4","58700","A","","","0"
"2022","Ontario","2021A000235","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107673458","8.1.1.1.5","42700","A","","","0"
"2022","Prairie provinces","2021A00014","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107675254","9.1.1.1.1","5664","A","","","0"
"2022","Prairie provinces","2021A00014","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107675255","9.1.1.1.2","5453","A","","","0"
"2022","Prairie provinces","2021A00014","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107675256","9.1.1.1.3","318837","A","","","0"
"2022","Prairie provinces","2021A00014","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107675257","9.1.1.1.4","58500","A","","","0"
"2022","Prairie provinces","2021A00014","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107675258","9.1.1.1.5","44000","A","","","0"
"2022","Manitoba","2021A000246","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107677054","10.1.1.1.1","1073","A","","","0"
"2022","Manitoba","2021A000246","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107677055","10.1.1.1.2","1044","A","","","0"
"2022","Manitoba","2021A000246","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107677056","10.1.1.1.3","52889","A","","","0"
"2022","Manitoba","2021A000246","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107677057","10.1.1.1.4","50700","A","","","0"
"2022","Manitoba","2021A000246","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107677058","10.1.1.1.5","41100","A","","","0"
"2022","Saskatchewan","2021A000247","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107678854","11.1.1.1.1","912","A","","","0"
"2022","Saskatchewan","2021A000247","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107678855","11.1.1.1.2","889","A","","","0"
"2022","Saskatchewan","2021A000247","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107678856","11.1.1.1.3","49510","A","","","0"
"2022","Saskatchewan","2021A000247","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107678857","11.1.1.1.4","55700","A","","","0"
"2022","Saskatchewan","2021A000247","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107678858","11.1.1.1.5","43900","A","","","0"
"2022","Alberta","2021A000248","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","3678","A","","","0"
"2022","Alberta","2021A000248","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","3520","A","","","0"
"2022","Alberta","2021A000248","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107680656","12.1.1.1.3","216439","A","","","0"
"2022","Alberta","2021A000248","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107680657","12.1.1.1.4","61500","A","","","0"
"2022","Alberta","2021A000248","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107680658","12.1.1.1.5","45200","A","","","0"
"2022","British Columbia","2021A000259","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107682454","13.1.1.1.1","4455","A","","","0"
"2022","British Columbia","2021A000259","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107682455","13.1.1.1.2","4341","A","","","0"
"2022","British Columbia","2021A000259","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107682456","13.1.1.1.3","253204","A","","","0"
"2022","British Columbia","2021A000259","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107682457","13.1.1.1.4","58300","A","","","0"
"2022","British Columbia","2021A000259","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107682458","13.1.1.1.5","43900","A","","","0"
"2022","Québec, Quebec","2021S0503421","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107684254","14.1.1.1.1","716","B","","","0"
"2022","Québec, Quebec","2021S0503421","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107684255","14.1.1.1.2","711","B","","","0"
"2022","Québec, Quebec","2021S0503421","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107684256","14.1.1.1.3","41990","B","","","0"
"2022","Québec, Quebec","2021S0503421","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107684257","14.1.1.1.4","59100","A","","","0"
"2022","Québec, Quebec","2021S0503421","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107684258","14.1.1.1.5","50500","A","","","0"
"2022","Montréal, Quebec","2021S0503462","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107686054","15.1.1.1.1","3723","A","","","0"
"2022","Montréal, Quebec","2021S0503462","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107686055","15.1.1.1.2","3632","A","","","0"
"2022","Montréal, Quebec","2021S0503462","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107686056","15.1.1.1.3","205761","A","","","0"
"2022","Montréal, Quebec","2021S0503462","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107686057","15.1.1.1.4","56700","A","","","0"
"2022","Montréal, Quebec","2021S0503462","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107686058","15.1.1.1.5","43800","A","","","0"
"2022","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107687854","16.1.1.1.1","1302","B","","","0"
"2022","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107687855","16.1.1.1.2","1271","B","","","0"
"2022","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107687856","16.1.1.1.3","80811","B","","","0"
"2022","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107687857","16.1.1.1.4","63600","A","","","0"
"2022","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107687858","16.1.1.1.5","49500","A","","","0"
"2022","Toronto, Ontario","2021S0503535","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107689654","17.1.1.1.1","5734","A","","","0"
"2022","Toronto, Ontario","2021S0503535","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107689655","17.1.1.1.2","5525","A","","","0"
"2022","Toronto, Ontario","2021S0503535","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107689656","17.1.1.1.3","342604","A","","","0"
"2022","Toronto, Ontario","2021S0503535","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107689657","17.1.1.1.4","62000","A","","","0"
"2022","Toronto, Ontario","2021S0503535","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107689658","17.1.1.1.5","41800","A","","","0"
"2022","Winnipeg, Manitoba","2021S0503602","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107691454","18.1.1.1.1","721","A","","","0"
"2022","Winnipeg, Manitoba","2021S0503602","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107691455","18.1.1.1.2","702","A","","","0"
"2022","Winnipeg, Manitoba","2021S0503602","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107691456","18.1.1.1.3","36719","A","","","0"
"2022","Winnipeg, Manitoba","2021S0503602","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107691457","18.1.1.1.4","52300","A","","","0"
"2022","Winnipeg, Manitoba","2021S0503602","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107691458","18.1.1.1.5","42300","A","","","0"
"2022","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1310","A","","","0"
"2022","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1248","A","","","0"
"2022","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","83446","B","","","0"
"2022","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","66800","B","","","0"
"2022","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","48000","B","","","0"
"2022","Edmonton, Alberta","2021S0503835","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107695054","20.1.1.1.1","1266","A","","","0"
"2022","Edmonton, Alberta","2021S0503835","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107695055","20.1.1.1.2","1211","A","","","0"
"2022","Edmonton, Alberta","2021S0503835","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107695056","20.1.1.1.3","72197","B","","","0"
"2022","Edmonton, Alberta","2021S0503835","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107695057","20.1.1.1.4","59600","A","","","0"
"2022","Edmonton, Alberta","2021S0503835","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107695058","20.1.1.1.5","45800","B","","","0"
"2022","Vancouver, British Columbia","2021S0503933","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107696854","21.1.1.1.1","2421","A","","","0"
"2022","Vancouver, British Columbia","2021S0503933","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107696855","21.1.1.1.2","2350","A","","","0"
"2022","Vancouver, British Columbia","2021S0503933","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107696856","21.1.1.1.3","142355","A","","","0"
"2022","Vancouver, British Columbia","2021S0503933","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107696857","21.1.1.1.4","60600","A","","","0"
"2022","Vancouver, British Columbia","2021S0503933","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107696858","21.1.1.1.5","44200","A","","","0"


